epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9958,1.79436,2.3345,1.67549,0.62547,0.55256,0.61198,0.45124,1.07643,1.08008,1.11187,1.785e-05,1.785e-05,1.785e-05
2,34.2124,1.78106,2.29157,1.66907,0.60802,0.5708,0.61177,0.4491,1.11408,1.0831,1.12715,3.32379e-05,3.32379e-05,3.32379e-05
3,37.3192,1.59804,2.31418,1.60271,0.58474,0.59791,0.62486,0.44054,1.19758,1.10491,1.15653,4.48559e-05,4.48559e-05,4.48559e-05
4,40.3501,1.565,2.13612,1.52884,0.6326,0.57445,0.63115,0.43046,1.29856,1.1366,1.1967,5.27039e-05,5.27039e-05,5.27039e-05
5,43.3999,1.57704,2.06732,1.5292,0.65249,0.56062,0.63257,0.41202,1.38703,1.16341,1.22563,5.6782e-05,5.6782e-05,5.6782e-05
6,46.4566,1.58841,2.02411,1.50196,0.66379,0.55435,0.62749,0.40065,1.4415,1.18845,1.2452,5.70903e-05,5.70903e-05,5.70903e-05
7,49.4918,1.54109,1.95269,1.49824,0.59933,0.60619,0.63738,0.40141,1.45118,1.19144,1.24464,4.8314e-05,4.8314e-05,4.8314e-05
8,52.6288,1.56092,2.05004,1.5069,0.64864,0.57965,0.63197,0.39996,1.45223,1.20116,1.24397,3.6533e-05,3.6533e-05,3.6533e-05
9,55.9252,1.51822,1.83758,1.47418,0.68075,0.57156,0.64697,0.40642,1.44706,1.19174,1.23819,2.4752e-05,2.4752e-05,2.4752e-05
10,59.058,1.52192,2.03241,1.48331,0.68605,0.57165,0.63962,0.40482,1.44045,1.18769,1.23463,1.2971e-05,1.2971e-05,1.2971e-05
